i, M,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,r200
0.000000000000000000e+00,4.342096072806992169e+00,0.000000000000000000e+00,6.879419733077821002e-04,1.727762213201669084e-03,3.219061853375371294e-03,4.139836059681125530e-03,1.612769103951173849e-03,2.004305774428545225e-03,9.498129436600159792e-04,8.638144819381370423e-04,6.197515077445284789e-04,4.124057767034880581e-04,2.133195169419326010e-04,1.364192923339500527e-04,9.190689072908648778e-05,3.601758698121857241e-05,1.326936261237495593e-05,7.787864326679237400e-06,3.319532745767383294e-06,1.360700562835242330e-06,5.814886604062524704e-07,5.718991470336914062e+01
1.000000000000000000e+00,3.727101661395666898e+00,6.228963957874062742e-03,5.610986498938596266e-03,2.755158198259041735e-03,5.799874539522379899e-03,2.654375699125058677e-03,3.227561793297663989e-03,2.015779704763452987e-03,1.403683106639221946e-03,1.180200960746406649e-03,4.748760236866659623e-04,3.360475400048270039e-04,2.171502495183444555e-04,1.516781988596898169e-04,7.639058208271895826e-05,3.115751171591263108e-05,1.400696000342049740e-05,7.487664066699586740e-06,3.254403560205489685e-06,1.586545214014165652e-06,6.271683192940050969e-07,5.434984588623046875e+01
2.000000000000000000e+00,4.462254360557276200e+00,5.717263268533624362e-03,3.502881035334011982e-03,5.372340105898775614e-03,4.822214909172420523e-03,2.427051133073946342e-03,2.277141769488589922e-03,2.033554945550655486e-03,1.185358111195868123e-03,1.025640182950606459e-03,6.657505907521412162e-04,4.481391767375799339e-04,2.665066974115951211e-04,1.235329425834999224e-04,7.087991360453310078e-05,3.031235576709799222e-05,1.544786877757704254e-05,7.399486559113085779e-06,3.884254681585467112e-06,1.303676268041238857e-06,4.606106717275377134e-07,5.770808029174804688e+01
3.000000000000000000e+00,3.647274695814874512e+00,1.381645448140652330e-03,0.000000000000000000e+00,4.122403815363482639e-03,4.729750331056013779e-03,7.128664729467398646e-04,1.334047308148398822e-03,1.470693425581230326e-03,9.112640437871592910e-04,5.062423168128311326e-04,4.243137865380137031e-04,2.767423958754206209e-04,1.848796193383167325e-04,1.026567409332875035e-04,6.007670192031424293e-05,3.335559554113616250e-05,1.450145632510996759e-05,9.113716810139330435e-06,4.349091781927613035e-06,1.995068991182587299e-06,1.550028632619058137e-06,5.393699645996093750e+01
4.000000000000000000e+00,3.712116581344946376e+00,0.000000000000000000e+00,2.903878001799357900e-03,2.338873355621053432e-03,1.973118269755182001e-03,1.052267341205188195e-03,2.169785878613919930e-03,1.582087333507521329e-03,1.189687169589316367e-03,5.298638932287139678e-04,4.667768534516789211e-04,3.226800567543686138e-04,1.954489349448811748e-04,1.039343960806009596e-04,6.097833313770617357e-05,2.484632168831208202e-05,1.440389705674049206e-05,8.801164951633296178e-06,4.143548561273172874e-06,2.447113192204938601e-06,1.365535762221992952e-06,5.427640533447265625e+01
5.000000000000000000e+00,3.958538352005398053e+00,0.000000000000000000e+00,1.037724838542221362e-02,4.843473539728679333e-03,2.037143534537904331e-03,1.708626352170655900e-03,1.395905241800200541e-03,1.826531559058544411e-03,8.691449330657737048e-04,7.640724504470225355e-04,4.555407249923282081e-04,3.529421263208815129e-04,2.045081275289146214e-04,1.060873515405045674e-04,5.075383583789637985e-05,2.954662173946131143e-05,1.524837593718187221e-05,7.555249909566313299e-06,5.074376531386884585e-06,2.377500268536333871e-06,1.101375194536374683e-06,5.543461608886718750e+01
6.000000000000000000e+00,3.832852682714769088e+00,4.969608481630867491e-03,6.953274691421304499e-03,3.894173316352962395e-03,5.737279751500071016e-03,1.728444161553886142e-03,1.415166963613561377e-03,1.888855832653458166e-03,1.132453946053618536e-03,8.413357720286625914e-04,7.010757696830192563e-04,4.152512637595419842e-04,2.245334542102238079e-04,1.447131103107769873e-04,7.002591234332288667e-05,3.144454767577661619e-05,1.330462896222590229e-05,7.812205066128688751e-06,2.825152610822211819e-06,1.714145001445756281e-06,8.068183413566496661e-07,5.483913803100585938e+01
7.000000000000000000e+00,4.236484496303613234e+00,0.000000000000000000e+00,2.705827176803977767e-03,2.927742527837334276e-03,3.450731803400439775e-03,2.335771278496955039e-03,2.018182577439747803e-03,1.234188295062600867e-03,1.224523739045552334e-03,8.169509584501327259e-04,4.353626111344274709e-04,3.172288010930708591e-04,1.965307096304768481e-04,1.082741348444636256e-04,6.793942024101752304e-05,4.002733086935323189e-05,1.723456386191733351e-05,8.919985173692997931e-06,3.496179072784941599e-06,2.159519372923585881e-06,7.340153906504122584e-07,5.670449447631835938e+01
8.000000000000000000e+00,4.114214675903500762e+00,1.075314847271527895e-02,2.320737269505638960e-03,4.208973492149690326e-03,4.563297216845914502e-03,4.510234610611653372e-03,2.011698888969908235e-03,2.311211814658185610e-03,1.084356936057270186e-03,1.128311232712686909e-03,5.124433359832652026e-04,3.104539174933235884e-04,2.030231399255009658e-04,1.244936172693123942e-04,7.121560867400947108e-05,3.460488798930447956e-05,1.622301579156032388e-05,7.363177532941369861e-06,3.590903190757643580e-06,1.596229312860410866e-06,7.853807798808853361e-07,5.614649963378906250e+01
9.000000000000000000e+00,3.827883521233951480e+00,0.000000000000000000e+00,6.893905329206839391e-04,3.584196153671921105e-03,2.928231629446836990e-03,2.384624536656980692e-03,1.353608821441544194e-03,1.290026315635367125e-03,1.106016302724557908e-03,6.190628750320742273e-04,3.792578692780134266e-04,2.817901972195181932e-04,1.459967346682200745e-04,1.029760141444194797e-04,9.609261672355501099e-05,4.967870443278182840e-05,1.765635673072363677e-05,6.855483477728714238e-06,3.895606859130404979e-06,1.858412107927339555e-06,8.017397695610380302e-07,5.483303070068359375e+01
