i, M,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,r200
0.000000000000000000e+00,4.104184640003483153e+00,0.000000000000000000e+00,9.788242026423389901e-04,0.000000000000000000e+00,2.902655016876454740e-04,4.118561777103581429e-04,1.310840127009664795e-04,1.802435087110626564e-04,1.492584463087237698e-04,1.404107637544708736e-04,7.703177110264401901e-05,6.121801833337349767e-05,2.906887639659862696e-05,2.454001147605981006e-05,1.170347262840717644e-05,1.040850694166599410e-05,5.738903063147244831e-06,3.830323174421680936e-06,1.783188646934804652e-06,1.152059393382223329e-06,6.397075606381282506e-07,8.101441955566406250e+01
1.000000000000000000e+00,3.935084477257934310e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.035860353500453140e-04,2.367082816602473420e-04,2.027524572285049757e-04,2.129666838590039372e-04,1.071289227902070217e-04,1.102759646263063738e-04,1.128528799089238905e-04,9.058069619903604658e-05,5.681318554108718009e-05,4.239449357218454177e-05,2.573433910721773397e-05,1.235879496439545014e-05,1.056870522956923530e-05,5.981100283659338569e-06,3.738234932351185505e-06,2.005603371661125691e-06,1.032775173629635086e-06,5.909066475756858386e-07,7.990107727050781250e+01
2.000000000000000000e+00,4.508015111996669155e+00,1.695029831750188062e-03,1.162772923730465748e-04,1.715099778030693622e-04,4.359868380146568771e-04,5.155533226888416325e-05,2.670437468012261764e-04,1.583659785718777107e-04,1.752120497624716792e-04,1.437234259166911634e-04,9.258834666005708014e-05,9.445532298813771660e-05,5.029149172084351689e-05,2.909620352059763283e-05,1.610039368938703425e-05,9.407673921266995263e-06,5.800088970375912555e-06,3.482981341833473556e-06,2.059245052936407276e-06,9.729782222911737467e-07,4.509270913173519160e-07,8.360575866699218750e+01
3.000000000000000000e+00,4.167108941586034732e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.859551840782485889e-05,2.529242234655849778e-04,8.279850812064502234e-05,6.402590510409925150e-05,1.026106982254573052e-04,7.046111136350428970e-05,8.913371578639426966e-05,5.155043685081240701e-05,3.533896069828056390e-05,1.938210742936268262e-05,1.151576956990886717e-05,9.746061944778558565e-06,5.273752920486198304e-06,4.172196419520461384e-06,1.884170899000469781e-06,9.567268913632934002e-07,8.234872901582648112e-07,8.142301940917968750e+01
4.000000000000000000e+00,4.569980057070554658e+00,0.000000000000000000e+00,7.858560311123312771e-04,8.916708583995386036e-05,3.698393141041936717e-04,1.343156351613619866e-04,1.699085898701331533e-04,1.626317010783634898e-04,1.473004881922156594e-04,1.438249229116035828e-04,1.008222621671990739e-04,6.235399875185929617e-05,4.535188441342923770e-05,3.444994882744448526e-05,1.735944108325793533e-05,9.902606217297153411e-06,6.424096572495344753e-06,3.571150951349439056e-06,1.707773548091757125e-06,9.283627278794458031e-07,5.229355554102064282e-07,8.397093200683593750e+01
5.000000000000000000e+00,4.557760674021281488e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.747237118815828441e-04,1.177141579655616567e-04,3.343291191610461193e-04,1.096049880807612565e-04,1.275366557211478238e-04,1.316359115273145757e-04,9.286665997646658581e-05,5.803632889976771615e-05,3.876349743878732663e-05,3.569808911989892267e-05,2.460994359411360237e-05,1.425699079218058286e-05,6.128716272691931923e-06,2.998640748935031600e-06,1.610288248103119273e-06,8.172846193590971796e-07,4.887557105682311455e-07,8.389718627929687500e+01
6.000000000000000000e+00,2.247060342120445142e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.085893476959616091e-05,0.000000000000000000e+00,7.298372375538840062e-05,1.039375736538344409e-04,1.312829212529902968e-04,1.055544604677400818e-04,6.653781712607720008e-05,1.921353628334155031e-05,2.602736702896781928e-05,1.500065417946764109e-05,8.324872074964495067e-06,4.431929853341211610e-06,2.450653886762911040e-06,1.222607272355891551e-06,9.602204471625687953e-07,1.192316485506417474e-06,6.627859497070312500e+01
7.000000000000000000e+00,4.349933190632357061e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.180298733489835644e-04,1.831241858091920652e-04,4.326049183442420214e-04,1.926034015318342160e-04,1.870572595610454220e-04,8.799681949603032336e-05,1.196157058096010986e-04,6.727523402751329259e-05,5.614970869340412589e-05,3.633764748383601177e-05,2.234905075349915356e-05,1.208595080698808304e-05,5.721951048932968574e-06,3.410293554629599908e-06,1.568425128861257997e-06,9.021491298123983312e-07,3.922435855649545166e-07,8.265950012207031250e+01
8.000000000000000000e+00,4.293159732520607896e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.701397047082102040e-04,0.000000000000000000e+00,1.935395721880718103e-05,1.516744224003591004e-04,1.075738576512252480e-04,7.297424008256017886e-05,8.598227849179912485e-05,6.758073606426250599e-05,5.080735579177652359e-05,3.588252844062987039e-05,2.544366474803752995e-05,1.780746469199520792e-05,1.261772452863831593e-05,5.836712054325993604e-06,3.320597175289651855e-06,1.771532209373684838e-06,1.173888303454341402e-06,5.913442456294484404e-07,8.223867797851562500e+01
9.000000000000000000e+00,2.492703103853473046e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.533054249196191775e-04,9.137263652876642791e-05,1.193471915762644899e-04,2.268481851614247201e-04,1.125294551777281435e-04,8.834949356428485124e-05,5.964376099776047850e-05,4.715836659514695078e-05,3.152901018933625474e-05,1.890613245484585336e-05,9.888113982804952706e-06,7.136625668527170367e-06,2.513546223872194288e-06,2.014065457360151917e-06,1.005791304050845880e-06,5.102095589676641490e-07,6.863307189941406250e+01
